"Product Code","Product Name",Variant,Expected,Counted
0702,"MAKHMAL GATHIYA (LOOSE)",,12.8000,
0704,"MAKAI CHIVDA (LOOSE)",,39.6000,
0706,"POTATO MITHA CHIVDA UPWAS(LOOSE)",,69.0000,
0708,"AGRA DALMOTH (LOOSE)",,7.9000,
0709,"BANGLORI MIX LOOSE",,58.7000,
0711,"INDORI MIX (LOOSE)",,48.5000,
0712,"KHATTA MITHA MIX (LOOSE)",,35.6000,
0714,"MADRASI FARSAN (LOOSE)",,51.4000,
0715,"MIX FARSAN (LOOSE)",,124.1000,
0716,"NAVRATNA MIX(LOOSE)",,88.1000,
0717,"KHARA BUNDI (LOOSE)",,53.0000,
0720,"BHAVNAGARI SHEV (LOOSE)",,70.5000,
0721,"LASUN SHEV (LOOSE)",,53.2000,
0723,"MASALA JAD SHEV (LOOSE)",,29.7000,
0724,"MISAL SHEV (LOOSE)",,65.6000,
0725,"NYLON SHEV (LOOSE)",,34.2000,
0726,"PILA BARIK SHEV (LOOSE)",,7.9000,
0727,"RATLAMI SHEV (LOOSE)",,72.3000,
0890,"SHING BHUJIYA 1kg",,32.1000,
0905,"ITALIAN CHIPS MASALA 50g",,8.0000,
0957,"POTATO FINGER (SADHA) 50g",,150.0000,
0958,"POTATO FINGER MASALA 50g",,85.0000,
0966,"POTATO PENNI (MASALA) 50g",,101.0000,
0967,"POTATO PENNI (SADHA) 50g",,39.0000,
0980,"DRYFRUIT SAMOSA 200g",,98.0000,
1007,"BADA BAKARWADI 1kg",,104.0000,
1012,"MINI BAKARWADI 1kg",,21.1000,
1019,"KHASTA KACHORI 200g",,47.0000,
1026,"MOONG DAL FRY 1kg",,8.7000,
8104,"AAKHA KABULI CHANA",,14.0000,
